OrderID,OrderDate,CustomerID,ProductCategory,ProductName,Quantity,UnitPrice,TotalPrice
10001001,10-09-2024,CUST001,Lighting,Orismart WiFi Enabled 16 Million Colours LED Bulb 10W,1,199,199
10001002,10-09-2024,CUST002,Cooling,Ceiling Fan Standard,2,59.99,119.98
10001003,11-09-2024,CUST003,Home Appliance,Microwave Oven 20L,1,89.5,89.5
10001004,11-09-2024,CUST004,Lighting,Smart Bulb RGB,8,12.5,100
10001005,12-09-2024,CUST005,Cooling,Table Fan Portable,3,24.99,74.97
10001006,12-09-2024,CUST006,Home Appliance,Electric Kettle,1,29.99,29.99
10001007,13-09-2024,CUST007,Lighting,Halogen Bulb 50W,20,2.75,55
10001008,13-09-2024,CUST008,Cooling,Exhaust Fan Small,1,35,35
10001009,14-09-2024,CUST009,Home Appliance,Toaster 2-Slice,2,45.99,91.98
10001010,14-09-2024,CUST010,Cooling,Pedestal Fan With Remote,1,49.99,49.99
10001011,15-09-2024,CUST001,Lighting,LED Tube Light 4ft,5,19.99,99.95
10001012,15-09-2024,CUST002,Home Appliance,Hand Blender Set,3,34,102
10001013,16-09-2024,CUST003,Cooling,Air Cooler Standard,1,129.99,129.99
10001014,16-09-2024,CUST004,Lighting,Desk Lamp Adjustable,4,18.5,74
10001015,17-09-2024,CUST005,Home Appliance,Coffee Maker 12 Cup,2,55.99,111.98
10001016,17-09-2024,CUST006,Cooling,Small Personal Fan,10,14.99,149.9
10001017,18-09-2024,CUST007,Lighting,Flood Light Outdoor,3,39.95,119.85
10001018,18-09-2024,CUST008,Home Appliance,Aeroquiet 5 Star Rated Premium BLDC PRO Ceiling Fan 1200mm Caramel Brown,1,2200,2910
10001019,19-09-2024,CUST009,Cooling,Tower Fan Oscillating,1,79.99,79.99
10001020,19-09-2024,CUST010,Lighting,Edison Style Bulb,25,6.5,162.5
10001021,20-09-2024,CUST001,Lighting,LED Bulb 9W,10,4.99,49.9
10001022,20-09-2024,CUST002,Cooling,Ceiling Fan Standard,1,59.99,59.99
10001023,21-09-2024,CUST003,Home Appliance,Microwave Oven 20L,2,89.5,179
10001024,21-09-2024,CUST004,Lighting,Smart Bulb RGB,5,12.5,62.5
10001025,22-09-2024,CUST005,Cooling,Table Fan Portable,1,24.99,24.99
10001026,22-09-2024,CUST006,Home Appliance,Electric Kettle,3,29.99,89.97
10001027,23-09-2024,CUST007,Lighting,Halogen Bulb 50W,50,2.75,137.5
10001028,23-09-2024,CUST008,Cooling,Exhaust Fan Small,2,35,70
10001029,24-09-2024,CUST009,Home Appliance,Toaster 2-Slice,1,45.99,45.99
10001030,24-09-2024,CUST010,Cooling,Pedestal Fan With Remote,2,49.99,99.98
10001031,25-09-2024,CUST001,Lighting,LED Tube Light 4ft,10,19.99,199.9
10001032,25-09-2024,CUST002,Home Appliance,Hand Blender Set,1,34,34
10001033,26-09-2024,CUST003,Cooling,Air Cooler Standard,2,129.99,259.98
10001034,26-09-2024,CUST004,Lighting,Desk Lamp Adjustable,8,18.5,148
10001035,27-09-2024,CUST005,Home Appliance,Coffee Maker 12 Cup,1,55.99,55.99
10001036,27-09-2024,CUST006,Cooling,Small Personal Fan,20,14.99,299.8
10001037,28-09-2024,CUST007,Lighting,Flood Light Outdoor,1,39.95,39.95
10001038,28-09-2024,CUST008,Home Appliance,Iron Steam Press,2,22,44
10001039,29-09-2024,CUST009,Cooling,Tower Fan Oscillating,3,79.99,239.97
10001040,29-09-2024,CUST010,Lighting,Edison Style Bulb,40,6.5,260
